Table,Variable,Description,Type,Format / Unit,Allowed values,Source,Fallback source,Missing policy,Transformation / derivation,Analytical use,Role
films_enriched_v2,film_id,Stable deterministic film identifier inherited unchanged from Canonical Film Catalogue v2.1.,string,STUDIO_YEAR_SLUG,"Unique non-null value; examples: WDAS_2013_FROZEN, DWA_2001_SHREK",Canonical Film Catalogue v2.1 (Task 2),,Never missing.,None; immutable key.,"Join key across catalogue, financial, rating, and derived data.",identifier
films_enriched_v2,title,Canonical English film title inherited from the approved catalogue.,string,UTF-8 text,Canonical title from Task 2,Canonical Film Catalogue v2.1 (Task 2),,Never missing.,None.,"Labels, tooltips, source matching, auditability.",raw
films_enriched_v2,studio,Producing studio used for the approved analytical attribution.,categorical string,text,Walt Disney Animation Studios; Pixar Animation Studios; DreamWorks Animation; Walt Disney Pictures,Canonical Film Catalogue v2.1 (Task 2),Task 2 v2.1 row-level production evidence,Never missing.,None.,Studio-specific comparisons and release-frequency aggregation while preserving Pixar as a distinct studio.,categorical
films_enriched_v2,corpus_role,High-level analytical layer frozen in Canonical Film Catalogue v2.1.,categorical string,text,core; disney_pixar; remake_context,Canonical Film Catalogue v2.1 (Task 2),,Never missing for included films.,Task 4 uses only Task 2 v2.1 rows with inclusion_status == INCLUDE.,"Separates WDAS/DreamWorks core films, the Disney-side Pixar layer, and the separate Disney remake/reimagining layer.",categorical
films_enriched_v2,corpus_assignment,Specific frozen corpus assignment from Canonical Film Catalogue v2.1.,categorical string,text,CORE_WDAS; CORE_DWA; DISNEY_PIXAR; DISNEY_REMAKE,Canonical Film Catalogue v2.1 (Task 2),,Never missing for included films.,None.,Exact layer filtering without inferring analytical membership from studio or corporate ownership.,categorical
films_enriched_v2,competitive_side,Deterministic two-side analytical grouping for the revised Disney-vs-DreamWorks framing. Pixar remains a separate studio but belongs to the Disney side.,categorical string,text,Disney; DreamWorks,Derived deterministically from Canonical Film Catalogue v2.1 corpus_assignment,,Never missing for included films.,"Disney if corpus_assignment in {CORE_WDAS, DISNEY_PIXAR, DISNEY_REMAKE}; DreamWorks if corpus_assignment == CORE_DWA.",Supports two-side Disney-vs-DreamWorks aggregation. Remake rows must still be filtered explicitly with corpus_role/corpus_assignment when computing animated/core comparisons.,derived
films_enriched_v2,corporate_group_at_release,Corporate parent/group associated with the producing studio at the film's release date.,categorical string,text,Controlled company/group names as frozen in Task 2,Canonical Film Catalogue v2.1 (Task 2),Official corporate history / acquisition sources already used in Task 2,Missing only if Task 2 did not assign a corporate group.,None.,Distinguishes pre-acquisition Pixar partnership releases from post-acquisition Disney ownership and preserves DreamWorks ownership history without changing studio identity.,context
films_enriched_v2,release_date,Canonical release date frozen in Task 2 and used as the project time coordinate.,date,YYYY-MM-DD,1998-01-01 through 2026-08-18 for included films,Canonical Film Catalogue v2.1 (Task 2),None; external release data are cross-checks only,Never missing for included films.,Do not overwrite with TMDB or The Numbers dates.,"Timeline, release frequency, temporal trends, CPI month matching.",raw
films_enriched_v2,release_year,Calendar year of the canonical release date.,integer,YYYY,1998-2026,Canonical Film Catalogue v2.1 (Task 2),Derived from release_date,Never missing for included films.,year(release_date); Task 2 value is preserved and validated.,Annual release counts and temporal aggregation.,derived
films_enriched_v2,production_status,Whether the target studio is the sole credited producer or a co-producer.,categorical string,text,sole_production; co_production,Canonical Film Catalogue v2.1 (Task 2),Task 2 v2.1 row-level production evidence,Never missing for included films.,None.,Production attribution audit and co-production sensitivity checks.,categorical
films_enriched_v2,production_partners,Other formally credited production partners recorded for a co-production.,string,Semicolon-separated names,Free text company names; blank for sole productions,Canonical Film Catalogue v2.1 (Task 2),Official film credits / authoritative industry record,Blank is expected for sole_production; should be populated for co_production when identifiable.,None.,Traceability and verification of studio attribution; not a primary performance metric.,context
